match_id,match_name,kickoff,actual_score,portfolio_name,portfolio_style,pre_match_rank,pre_match_score,total_stake,net_profit,roi,hit_count,loss_count,push_count,best_score_path,actual_score_path,covered_actual_score,zero_risk_triggered,one_goal_deviation_failure,recommendation_rank_pre_match,actual_profit_rank_post_match,recomputed_with_current_model
2026_06_20_Brazil_Haiti,巴西 vs 海地,2026-06-20T00:30Z,3:0,推荐组合,System,1,80,100.0,-100.0,-1.0,0,1,0,3:2,three_plus_goal_win,False,True,False,1,5,True
2026_06_20_Brazil_Haiti,巴西 vs 海地,2026-06-20T00:30Z,3:0,第2组合,System,2,80,100.0,-100.0,-1.0,0,1,0,3:2,three_plus_goal_win,False,True,False,2,6,True
2026_06_20_Brazil_Haiti,巴西 vs 海地,2026-06-20T00:30Z,3:0,推荐组合,System,3,66,100.0,8.0,0.08,1,1,0,1:0,three_plus_goal_win,True,False,False,3,1,True
2026_06_20_Brazil_Haiti,巴西 vs 海地,2026-06-20T00:30Z,3:0,第4组合,System,4,66,100.0,8.0,0.08,1,0,0,1:0,three_plus_goal_win,True,False,False,4,2,True
2026_06_20_Brazil_Haiti,巴西 vs 海地,2026-06-20T00:30Z,3:0,第5组合,System,5,66,100.0,8.0,0.08,1,0,0,1:0,three_plus_goal_win,True,False,False,5,3,True
2026_06_20_Brazil_Haiti,巴西 vs 海地,2026-06-20T00:30Z,3:0,第6组合,System,6,66,100.0,8.0,0.08,1,0,0,1:0,three_plus_goal_win,True,False,False,6,4,True
2026_06_20_Ecuador_Cura_ao,厄瓜多尔 vs 库拉索,06/20/2026 19:00,0:0,推荐组合,System,1,45,1800.0,-1800.0,-1.0,0,1,0,2:0,draw,False,True,False,1,1,True
2026_06_20_Ecuador_Cura_ao,厄瓜多尔 vs 库拉索,06/20/2026 19:00,0:0,第2组合,System,2,44,1800.0,-1800.0,-1.0,0,1,0,2:0,draw,False,True,False,2,2,True
2026_06_20_Ecuador_Cura_ao,厄瓜多尔 vs 库拉索,06/20/2026 19:00,0:0,第3组合,System,3,42,1800.0,-1800.0,-1.0,0,1,0,2:0,draw,False,True,False,3,3,True
2026_06_20_Ecuador_Cura_ao,厄瓜多尔 vs 库拉索,06/20/2026 19:00,0:0,第4组合,System,4,42,1800.0,-1800.0,-1.0,0,1,0,2:0,draw,False,True,False,4,4,True
2026_06_20_Ecuador_Cura_ao,厄瓜多尔 vs 库拉索,06/20/2026 19:00,0:0,第5组合,System,5,38,1800.0,-1800.0,-1.0,0,2,0,2:0,draw,False,True,False,5,5,True
2026_06_20_Ecuador_Cura_ao,厄瓜多尔 vs 库拉索,06/20/2026 19:00,0:0,第6组合,System,6,38,1800.0,-1800.0,-1.0,0,2,0,2:0,draw,False,True,False,6,6,True
2026_06_20_Ecuador_Cura_ao,厄瓜多尔 vs 库拉索,06/20/2026 19:00,0:0,第7组合,System,7,38,1800.0,-1800.0,-1.0,0,2,0,2:0,draw,False,True,False,7,7,True
2026_06_20_Ecuador_Cura_ao,厄瓜多尔 vs 库拉索,06/20/2026 19:00,0:0,第8组合,System,8,34,1800.0,-1800.0,-1.0,0,2,0,2:0,draw,False,True,False,8,8,True
2026_06_20_Ecuador_Cura_ao,厄瓜多尔 vs 库拉索,06/20/2026 19:00,0:0,第9组合,System,9,32,1800.0,-1800.0,-1.0,0,4,0,3:0,draw,False,True,False,9,9,True
2026_06_20_Ecuador_Cura_ao,厄瓜多尔 vs 库拉索,06/20/2026 19:00,0:0,第10组合,System,10,29,1800.0,-1800.0,-1.0,0,2,0,2:0,draw,False,True,False,10,10,True
2026_06_20_Germany_Ivory_Coast,德国 vs 科特迪瓦,06/20/2026 16:00,2:1,推荐组合,System,1,100,1800.0,-1800.0,-1.0,0,1,0,2:0,one_goal_win,False,True,True,1,6,True
2026_06_20_Germany_Ivory_Coast,德国 vs 科特迪瓦,06/20/2026 16:00,2:1,第2组合,System,2,100,1800.0,-441.0,-0.245,1,1,0,2:0,one_goal_win,False,False,True,2,3,True
2026_06_20_Germany_Ivory_Coast,德国 vs 科特迪瓦,06/20/2026 16:00,2:1,第3组合,System,3,100,1800.0,12.0,0.0067,1,1,0,2:0,one_goal_win,True,False,False,3,2,True
2026_06_20_Germany_Ivory_Coast,德国 vs 科特迪瓦,06/20/2026 16:00,2:1,第4组合,System,4,100,1800.0,-1800.0,-1.0,0,2,0,2:0,one_goal_win,False,True,True,4,7,True
2026_06_20_Germany_Ivory_Coast,德国 vs 科特迪瓦,06/20/2026 16:00,2:1,第5组合,System,5,100,1800.0,-1347.0,-0.7483,1,4,0,3:0,one_goal_win,False,False,True,5,4,True
2026_06_20_Germany_Ivory_Coast,德国 vs 科特迪瓦,06/20/2026 16:00,2:1,第6组合,System,6,97,1800.0,-1498.0,-0.8322,1,11,0,5:3,one_goal_win,False,False,True,6,5,True
